Solver,Puzzle Set,Puzzle Number,Time (s),Clauses
ConstraintPathSolver,6x6,118,684679875,0
ConstraintPathSolver,6x6,119,2875268000,0
ConstraintPathSolver,6x6,120,1979350166,0
ConstraintPathSolver,6x6,121,1008133750,0
ConstraintPathSolver,6x6,122,679007084,0
ConstraintPathSolver,6x6,123,624553083,0
ConstraintPathSolver,6x6,124,511259500,0
ConstraintPathSolver,6x6,125,577657083,0
ConstraintPathSolver,6x6,126,607788625,0
ConstraintPathSolver,6x6,127,452602208,0
ConstraintPathSolver,6x6,128,555505458,0
ConstraintPathSolver,6x6,129,462673333,0
ConstraintPathSolver,6x6,130,583545125,0
ConstraintPathSolver,6x6,131,628624500,0
ConstraintPathSolver,6x6,132,635683458,0
ConstraintPathSolver,6x6,133,886188000,0
ConstraintPathSolver,6x6,134,479364208,0
ConstraintPathSolver,6x6,135,553228042,0
ConstraintPathSolver,6x6,136,507384166,0
ConstraintPathSolver,6x6,137,520214916,0
ConstraintPathSolver,6x6,138,684076958,0
ConstraintPathSolver,6x6,139,628023625,0
ConstraintPathSolver,6x6,140,571780875,0
ConstraintPathSolver,6x6,141,552208667,0
ConstraintPathSolver,6x6,142,472478417,0
ConstraintPathSolver,6x6,143,722739375,0
ConstraintPathSolver,6x6,144,582992083,0
ConstraintPathSolver,6x6,145,523586833,0
ConstraintPathSolver,6x6,146,656260750,0
ConstraintPathSolver,6x6,147,472338333,0
ConstraintPathSolver,6x6,148,608043667,0
ConstraintPathSolver,6x6,149,831763875,0
ConstraintPathSolver,6x6,150,558801250,0
ConstraintPathSolver,6x6,151,614533292,0
ConstraintPathSolver,6x6,152,565055458,0
ConstraintPathSolver,6x6,153,501533958,0
ConstraintPathSolver,6x6,154,518369042,0
ConstraintPathSolver,6x6,155,510995833,0
ConstraintPathSolver,6x6,156,701191584,0
ConstraintPathSolver,6x6,157,455786125,0
ConstraintPathSolver,6x6,158,565687708,0
ConstraintPathSolver,6x6,159,518547291,0
ConstraintPathSolver,6x6,160,557281084,0
ConstraintPathSolver,6x6,161,551409667,0
ConstraintPathSolver,6x6,162,1197924208,0
ConstraintPathSolver,6x6,163,1458466500,0
ConstraintPathSolver,6x6,164,1527353333,0
ConstraintPathSolver,6x6,165,627229500,0
ConstraintPathSolver,6x6,166,664790625,0
ConstraintPathSolver,6x6,167,704241541,0
ConstraintPathSolver,6x6,168,600823750,0
ConstraintPathSolver,6x6,169,517202875,0
ConstraintPathSolver,6x6,170,829942334,0
ConstraintPathSolver,6x6,171,852906417,0
ConstraintPathSolver,6x6,172,737746167,0
ConstraintPathSolver,6x6,173,562913833,0
ConstraintPathSolver,6x6,174,477450167,0
ConstraintPathSolver,6x6,175,525039084,0
ConstraintPathSolver,6x6,176,526274000,0
ConstraintPathSolver,6x6,177,564563875,0
ConstraintPathSolver,6x6,178,824252417,0
ConstraintPathSolver,6x6,179,643708666,0
ConstraintPathSolver,6x6,180,456276792,0
ConstraintPathSolver,6x6,181,478146250,0
ConstraintPathSolver,6x6,182,727429333,0
ConstraintPathSolver,6x6,183,626251125,0
ConstraintPathSolver,6x6,184,474451875,0
ConstraintPathSolver,6x6,185,525509542,0
ConstraintPathSolver,6x6,186,465777417,0
ConstraintPathSolver,6x6,187,500553416,0
ConstraintPathSolver,6x6,188,420462583,0
ConstraintPathSolver,6x6,189,526671834,0
ConstraintPathSolver,6x6,190,519376166,0
ConstraintPathSolver,6x6,191,545928792,0
ConstraintPathSolver,6x6,192,765967917,0
ConstraintPathSolver,6x6,193,685719833,0
ConstraintPathSolver,6x6,194,553388958,0
ConstraintPathSolver,6x6,195,358094833,0
ConstraintPathSolver,6x6,196,415231625,0
ConstraintPathSolver,6x6,197,511823250,0
ConstraintPathSolver,6x6,198,488802000,0
ConstraintPathSolver,6x6,199,403237875,0
ConstraintPathSolver,6x6,200,450648125,0
ConstraintPathSolver,7x7,1,2242457667,0
ConstraintPathSolver,7x7,2,2455876750,0
ConstraintPathSolver,7x7,3,2044794250,0
ConstraintPathSolver,7x7,4,2113694542,0
ConstraintPathSolver,7x7,5,2555404209,0
ConstraintPathSolver,7x7,6,1577278166,0
ConstraintPathSolver,7x7,7,1566562333,0
ConstraintPathSolver,7x7,8,1592606500,0
ConstraintPathSolver,7x7,9,1513644083,0
ConstraintPathSolver,7x7,10,2530513042,0
ConstraintPathSolver,7x7,11,2197244333,0
ConstraintPathSolver,7x7,12,1991324375,0
ConstraintPathSolver,7x7,13,1997722333,0
ConstraintPathSolver,7x7,14,2428253750,0
ConstraintPathSolver,7x7,15,1124747542,0
ConstraintPathSolver,7x7,16,1427560917,0
ConstraintPathSolver,7x7,17,2434708333,0
ConstraintPathSolver,7x7,18,1225345958,0
ConstraintPathSolver,7x7,19,2505551500,0
ConstraintPathSolver,7x7,20,2748101792,0
ConstraintPathSolver,7x7,21,5174063291,0
ConstraintPathSolver,7x7,22,9421455084,0
ConstraintPathSolver,7x7,23,4221390000,0
ConstraintPathSolver,7x7,24,3555448458,0
ConstraintPathSolver,7x7,25,1653763750,0
ConstraintPathSolver,7x7,26,1850349042,0
ConstraintPathSolver,7x7,27,3040624083,0
ConstraintPathSolver,7x7,28,1925649708,0
ConstraintPathSolver,7x7,29,1882866334,0
ConstraintPathSolver,7x7,30,2393543375,0
ConstraintPathSolver,7x7,31,1504166334,0
ConstraintPathSolver,7x7,32,2619610167,0
ConstraintPathSolver,7x7,33,1996102208,0
ConstraintPathSolver,7x7,34,3075904459,0
ConstraintPathSolver,7x7,35,1594007334,0
ConstraintPathSolver,7x7,36,2629817917,0
ConstraintPathSolver,7x7,37,1548731417,0
ConstraintPathSolver,7x7,38,1392286250,0
ConstraintPathSolver,7x7,39,1534489959,0
ConstraintPathSolver,7x7,40,2461356750,0
ConstraintPathSolver,7x7,41,4785321750,0
ConstraintPathSolver,7x7,42,2488717667,0
ConstraintPathSolver,7x7,43,5292831666,0
ConstraintPathSolver,7x7,44,2426601291,0
ConstraintPathSolver,7x7,45,3379315417,0
ConstraintPathSolver,7x7,46,1958309125,0
ConstraintPathSolver,7x7,47,1303576708,0
ConstraintPathSolver,7x7,48,2556668334,0
ConstraintPathSolver,7x7,49,1216637917,0
ConstraintPathSolver,7x7,50,1952369916,0
ConstraintPathSolver,7x7,51,2000296416,0
ConstraintPathSolver,7x7,52,2239116958,0
ConstraintPathSolver,7x7,53,1770280542,0
ConstraintPathSolver,7x7,54,2365683208,0
ConstraintPathSolver,7x7,55,1049028458,0
ConstraintPathSolver,7x7,56,2768524583,0
ConstraintPathSolver,7x7,57,1247108292,0
ConstraintPathSolver,7x7,58,1503396125,0
ConstraintPathSolver,7x7,59,2548281250,0
ConstraintPathSolver,7x7,60,1830894333,0
ConstraintPathSolver,7x7,61,3912105250,0
ConstraintPathSolver,7x7,62,3106196959,0
ConstraintPathSolver,7x7,63,2039379750,0
ConstraintPathSolver,7x7,64,1542172250,0
ConstraintPathSolver,7x7,65,3832022791,0
ConstraintPathSolver,7x7,66,1384528959,0
ConstraintPathSolver,7x7,67,2200944958,0
ConstraintPathSolver,7x7,68,1412643375,0
ConstraintPathSolver,7x7,69,3088654708,0
ConstraintPathSolver,7x7,70,2397251000,0
ConstraintPathSolver,7x7,71,2279519667,0
ConstraintPathSolver,7x7,72,2149769000,0
ConstraintPathSolver,7x7,73,1229019833,0
ConstraintPathSolver,7x7,74,1438638833,0
ConstraintPathSolver,7x7,75,1795216083,0
ConstraintPathSolver,7x7,76,1758250333,0
ConstraintPathSolver,7x7,77,2387194791,0
ConstraintPathSolver,7x7,78,2120004167,0
ConstraintPathSolver,7x7,79,1291842084,0
ConstraintPathSolver,7x7,80,1371980334,0
ConstraintPathSolver,7x7,81,2278043708,0
ConstraintPathSolver,7x7,82,1416370000,0
ConstraintPathSolver,7x7,83,1181510334,0
ConstraintPathSolver,7x7,84,1306571959,0
ConstraintPathSolver,7x7,85,2526733958,0
ConstraintPathSolver,7x7,86,1506925458,0
ConstraintPathSolver,7x7,87,3235925916,0
ConstraintPathSolver,7x7,88,1728118500,0
ConstraintPathSolver,7x7,89,1305958500,0
ConstraintPathSolver,7x7,90,1413925541,0
ConstraintPathSolver,7x7,91,2195170208,0
ConstraintPathSolver,7x7,92,1257718375,0
ConstraintPathSolver,7x7,93,2229116542,0
ConstraintPathSolver,7x7,94,1558668542,0
ConstraintPathSolver,7x7,95,1575900375,0
ConstraintPathSolver,7x7,96,2210729458,0
ConstraintPathSolver,7x7,97,1422537042,0
ConstraintPathSolver,7x7,98,2232928833,0
ConstraintPathSolver,7x7,99,2052678792,0
ConstraintPathSolver,7x7,100,1731603458,0
ConstraintPathSolver,7x7,101,1978438291,0
ConstraintPathSolver,7x7,102,1982286125,0
ConstraintPathSolver,7x7,103,2112457667,0
ConstraintPathSolver,7x7,104,1710689542,0
ConstraintPathSolver,7x7,105,1479534125,0
ConstraintPathSolver,7x7,106,2516391167,0
ConstraintPathSolver,7x7,107,1049701250,0
ConstraintPathSolver,7x7,108,1451007125,0
ConstraintPathSolver,7x7,109,933736250,0
ConstraintPathSolver,7x7,110,2448379833,0
ConstraintPathSolver,7x7,111,2111627541,0
ConstraintPathSolver,7x7,112,2141961375,0
ConstraintPathSolver,7x7,113,1677085958,0
ConstraintPathSolver,7x7,114,1878716958,0
ConstraintPathSolver,7x7,115,1511947959,0
ConstraintPathSolver,7x7,116,1291153583,0
ConstraintPathSolver,7x7,117,2489638959,0
ConstraintPathSolver,7x7,118,2310198042,0
ConstraintPathSolver,7x7,119,2172631042,0
ConstraintPathSolver,7x7,120,1789660125,0
ConstraintPathSolver,7x7,121,2269452042,0
ConstraintPathSolver,7x7,122,1308835500,0
ConstraintPathSolver,7x7,123,1414166375,0
ConstraintPathSolver,7x7,124,2010502333,0
ConstraintPathSolver,7x7,125,2202779042,0
ConstraintPathSolver,7x7,126,1040802375,0
ConstraintPathSolver,7x7,127,1481433458,0
ConstraintPathSolver,7x7,128,1998333417,0
ConstraintPathSolver,7x7,129,2423026750,0
ConstraintPathSolver,7x7,130,2239553250,0
ConstraintPathSolver,7x7,131,2287183792,0
ConstraintPathSolver,7x7,132,1406822834,0
ConstraintPathSolver,7x7,133,2041050417,0
ConstraintPathSolver,7x7,134,3009381417,0
ConstraintPathSolver,7x7,135,2668492000,0
ConstraintPathSolver,7x7,136,1774605667,0
ConstraintPathSolver,7x7,137,1271124209,0
ConstraintPathSolver,7x7,138,2817223917,0
ConstraintPathSolver,7x7,139,2462104583,0
ConstraintPathSolver,7x7,140,1323044583,0
ConstraintPathSolver,7x7,141,1703177083,0
ConstraintPathSolver,7x7,142,1098429125,0
ConstraintPathSolver,7x7,143,1368086667,0
ConstraintPathSolver,7x7,144,1130047458,0
ConstraintPathSolver,7x7,145,1176808083,0
ConstraintPathSolver,7x7,146,1609559792,0
